h,a,s1,s2,f1,f2,c,ogfos,ec1,ec2,ec3,ec4
5.00,10.00,3.00,3.00,25.00,15.00,0.10,1.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,15.00,10.00,3.11,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,15.00,20.00,4.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,20.00,0.10,2.46,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,20.00,10.00,3.46,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,20.00,20.00,4.30,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,15.00,0.10,2.08,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,15.00,10.00,3.24,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,15.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,20.00,0.10,2.58,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,20.00,10.00,3.74,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,20.00,20.00,4.74,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,25.00,0.10,3.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,25.00,10.00,4.10,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,25.00,20.00,4.97,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,15.00,0.10,2.22,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,15.00,10.00,3.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,15.00,20.00,4.54,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,20.00,0.10,2.72,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,20.00,10.00,3.88,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,20.00,20.00,5.05,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,25.00,0.10,3.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,25.00,10.00,4.42,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,25.00,20.00,5.42,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,15.00,0.10,1.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,15.00,10.00,2.54,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,15.00,20.00,3.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,20.00,0.10,2.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,20.00,10.00,3.08,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,20.00,20.00,3.91,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,15.00,0.10,1.78,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,15.00,10.00,2.59,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,15.00,20.00,3.42,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,20.00,0.10,2.32,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,20.00,10.00,3.13,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,20.00,20.00,3.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,25.00,0.10,2.89,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,25.00,10.00,3.71,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,25.00,20.00,4.53,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,15.00,0.10,1.84,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,15.00,10.00,2.65,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,15.00,20.00,3.47,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,20.00,0.10,2.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,20.00,10.00,3.19,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,20.00,20.00,4.01,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,25.00,0.10,2.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,25.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,25.00,20.00,4.59,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,15.00,0.10,1.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,15.00,10.00,2.49,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,15.00,20.00,3.18,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,20.00,0.10,2.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,20.00,10.00,3.07,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,20.00,20.00,3.77,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,15.00,0.10,1.78,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,15.00,10.00,2.53,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,15.00,20.00,3.22,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,20.00,0.10,2.32,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,20.00,10.00,3.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,20.00,20.00,3.81,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,25.00,0.10,2.89,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,25.00,10.00,3.71,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,25.00,20.00,4.44,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,15.00,0.10,1.84,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,15.00,10.00,2.58,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,15.00,20.00,3.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,20.00,0.10,2.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,20.00,10.00,3.16,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,20.00,20.00,3.85,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,25.00,0.10,2.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,25.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,35.00,25.00,20.00,4.48,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,15.00,0.10,1.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,15.00,10.00,2.49,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,15.00,20.00,3.18,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,20.00,0.10,2.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,20.00,10.00,3.07,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,20.00,20.00,3.77,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,15.00,0.10,1.78,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,15.00,10.00,2.53,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,15.00,20.00,3.22,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,20.00,0.10,2.32,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,20.00,10.00,3.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,20.00,20.00,3.81,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,25.00,0.10,2.89,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,25.00,10.00,3.71,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,30.00,25.00,20.00,4.44,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,15.00,0.10,1.84,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,15.00,10.00,2.58,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,15.00,20.00,3.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,20.00,0.10,2.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,20.00,10.00,3.16,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,20.00,20.00,3.85,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,25.00,0.10,2.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,25.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,3.00,12.00,35.00,25.00,20.00,4.48,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,15.00,0.10,2.54,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,15.00,10.00,3.38,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,15.00,20.00,4.23,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,20.00,10.00,3.89,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,20.00,20.00,4.74,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,25.00,10.00,4.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,25.00,25.00,20.00,5.17,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,15.00,0.10,2.80,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,15.00,10.00,3.64,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,15.00,20.00,4.49,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,20.00,0.10,3.31,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,20.00,10.00,4.15,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,20.00,20.00,5.00,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,25.00,10.00,4.69,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,30.00,25.00,20.00,5.54,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,15.00,0.10,3.10,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,15.00,10.00,3.94,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,15.00,20.00,4.79,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,20.00,0.10,3.61,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,20.00,10.00,4.45,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,20.00,20.00,5.29,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,25.00,0.10,4.06,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,25.00,10.00,4.99,0.00,0.00,0.00,0.00
5.00,10.00,6.00,3.00,35.00,25.00,20.00,5.84,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,15.00,0.10,2.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,15.00,10.00,3.10,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,15.00,20.00,3.81,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,20.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,20.00,20.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,25.00,10.00,4.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,25.00,25.00,20.00,5.17,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,15.00,0.10,2.54,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,15.00,10.00,3.24,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,15.00,20.00,3.94,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,20.00,0.10,3.20,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,20.00,10.00,3.90,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,20.00,20.00,4.60,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,25.00,10.00,4.59,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,30.00,25.00,20.00,5.31,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,15.00,0.10,2.69,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,15.00,10.00,3.38,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,15.00,20.00,4.09,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,20.00,0.10,3.34,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,20.00,10.00,4.04,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,20.00,20.00,4.75,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,25.00,0.10,4.03,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,25.00,10.00,4.75,0.00,0.00,0.00,0.00
5.00,10.00,6.00,6.00,35.00,25.00,20.00,5.45,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,15.00,0.10,2.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,15.00,10.00,3.10,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,15.00,20.00,3.81,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,20.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,20.00,20.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,25.00,10.00,4.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,25.00,25.00,20.00,5.17,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,15.00,0.10,2.54,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,15.00,10.00,3.24,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,15.00,20.00,3.91,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,20.00,0.10,3.20,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,20.00,10.00,3.90,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,20.00,20.00,4.60,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,25.00,10.00,4.59,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,30.00,25.00,20.00,5.31,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,15.00,0.10,2.69,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,15.00,10.00,3.38,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,15.00,20.00,4.03,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,20.00,0.10,3.34,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,20.00,10.00,4.04,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,20.00,20.00,4.75,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,25.00,0.10,4.03,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,25.00,10.00,4.75,0.00,0.00,0.00,0.00
5.00,10.00,6.00,9.00,35.00,25.00,20.00,5.45,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,15.00,0.10,2.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,15.00,10.00,3.10,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,15.00,20.00,3.81,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,20.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,20.00,20.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,25.00,10.00,4.40,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,25.00,25.00,20.00,5.17,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,15.00,0.10,2.54,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,15.00,10.00,3.24,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,15.00,20.00,3.91,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,20.00,0.10,3.20,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,20.00,10.00,3.90,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,20.00,20.00,4.60,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,25.00,10.00,4.59,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,30.00,25.00,20.00,5.31,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,15.00,0.10,2.69,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,15.00,10.00,3.38,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,15.00,20.00,4.03,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,20.00,0.10,3.34,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,20.00,10.00,4.04,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,20.00,20.00,4.75,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,25.00,0.10,4.03,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,25.00,10.00,4.75,0.00,0.00,0.00,0.00
5.00,10.00,6.00,12.00,35.00,25.00,20.00,5.45,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,15.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,15.00,10.00,3.88,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,15.00,20.00,4.61,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,20.00,10.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,20.00,20.00,5.20,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,25.00,10.00,4.56,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,25.00,25.00,20.00,5.57,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,15.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,15.00,10.00,4.24,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,15.00,20.00,4.97,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,20.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,20.00,10.00,4.83,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,20.00,20.00,5.56,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,25.00,10.00,5.40,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,30.00,25.00,20.00,6.19,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,15.00,0.10,3.92,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,15.00,10.00,4.64,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,15.00,20.00,5.37,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,20.00,0.10,4.06,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,20.00,10.00,5.23,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,20.00,20.00,5.96,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,25.00,0.10,4.06,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,25.00,10.00,5.85,0.00,0.00,0.00,0.00
5.00,10.00,9.00,3.00,35.00,25.00,20.00,6.58,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,15.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,15.00,10.00,3.79,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,15.00,20.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,20.00,10.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,20.00,20.00,5.20,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,25.00,10.00,4.56,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,25.00,25.00,20.00,5.57,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,15.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,15.00,10.00,4.04,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,15.00,20.00,4.71,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,20.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,20.00,10.00,4.79,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,20.00,20.00,5.46,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,25.00,10.00,5.40,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,30.00,25.00,20.00,6.19,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,15.00,0.10,3.65,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,15.00,10.00,4.31,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,15.00,20.00,4.98,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,20.00,0.10,4.06,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,20.00,10.00,5.06,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,20.00,20.00,5.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,25.00,0.10,4.06,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,25.00,10.00,5.85,0.00,0.00,0.00,0.00
5.00,10.00,9.00,6.00,35.00,25.00,20.00,6.53,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,15.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,15.00,10.00,3.79,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,15.00,20.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,20.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,20.00,10.00,4.47,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,20.00,20.00,5.20,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,25.00,10.00,4.56,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,25.00,25.00,20.00,5.57,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,15.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,15.00,10.00,4.01,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,15.00,20.00,4.67,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,20.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,20.00,10.00,4.79,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,20.00,20.00,5.46,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,25.00,0.10,3.36,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,25.00,10.00,5.40,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,30.00,25.00,20.00,6.19,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,35.00,15.00,0.10,3.59,0.00,0.00,0.00,0.00
5.00,10.00,9.00,9.00,35.00,15.00,10.00,4.24,0.00,0.00,0.00,0.00
